good_name,category_name,good_price,count,steam_popularity_score,age,gender_cd,monthly_income_amt,education_level,city_nm
//N.P.P.D. RUSH// - The milk of Ultraviolet,Экшн,13.669999999999998,5,0.0,22.8,M,151585.2,SCH,Санкт-Петербург
//SNOWFLAKE TATTOO//,['Приключения' 'Ролевые (RPG)'],19.35,2,0.0,27.0,M,56581.0,['GRD' 'SCH'],['Москва' 'Самара']
11-11 Memories Retold,Приключения,149.85,12,0.0,28.583333333333332,M,107794.33333333333,GRD,Москва
112 Operator,Симуляторы,170.83695652173913,23,2046.0,26.130434782608695,M,120000.0,GRD,['Москва' 'Санкт-Петербург']
15 Days,['Приключения' 'Скидки'],46.74375,8,0.0,29.375,M,45890.0,UGR,Москва
16bit Trader,Стратегии,8.801492537313434,67,4353.0,24.671641791044777,M,113054.55223880598,GRD,Москва
1943 Deadly Desert,Стратегии,43.199999999999996,6,0.0,25.333333333333332,M,86626.83333333333,SCH,Москва
1954 Alcatraz,Инди,25.967857142857145,14,0.0,26.857142857142858,M,89682.0,SCH,Москва
3SwitcheD,Казуальные игры,19.9,1,4608.0,20.0,M,62000.0,GRD,Москва
4th Generation Warfare,['Инди' 'Ролевые (RPG)'],535.9,6,0.0,32.666666666666664,M,144165.33333333334,GRD,Санкт-Петербург
7'scarlet,['Ролевые (RPG)' 'Скидки'],288.4,5,0.0,30.0,F,132543.2,GRD,['Москва' 'Санкт-Петербург']
8infinity,Инди,3.8479295154185023,227,4701.0,24.65638766519824,M,100089.22907488987,GRD,Москва
9 Monkeys of Shaolin,Экшн,149.7,11,0.0,34.45454545454545,M,128015.36363636363,['GRD' 'SCH'],Москва
9 Years of Shadows,Экшн,665.625,8,0.0,28.0,M,129176.75,SCH,Москва
911 Operator,Стратегии,128.1903846153846,26,2568.0,25.615384615384617,M,99826.80769230769,GRD,Москва
A Blind Legend,Приключения,43.8,8,0.0,26.0,M,78541.125,GRD,['Москва' 'Санкт-Петербург']
A Game of Dwarves,Стратегии,39.8,1,4417.0,23.0,M,87775.0,GRD,Екатеринбург
A Game of Dwarves: Ale Pack - DLC,['Казуальные игры' 'Стратегии'],19.5,2,0.0,22.0,M,55449.0,['GRD' 'SCH'],['Москва' 'Санкт-Петербург']
A Game of Thrones: The Board Game - Digital Edition,Стратегии,813.595,4,0.0,31.75,M,159330.25,SCH,Москва
A Memoir Blue,Казуальные игры,261.16153846153844,26,0.0,30.615384615384617,M,156682.46153846153,GRD,Москва
A Normal Lost Phone,Инди,32.67,11,0.0,23.181818181818183,F,116511.54545454546,GRD,Москва
A Planet of Mine,['Симуляторы' 'Стратегии'],153.75,2,0.0,23.5,M,66307.0,GRD,['Красноярск' 'Санкт-Петербург']
A Street Cat's Tale,Симуляторы,91.32666666666667,15,0.0,25.533333333333335,F,85361.33333333333,GRD,Санкт-Петербург
A WAY OUT,Приключения,479.6,1,0.0,29.0,M,134841.0,GRD,Новосибирск
ABRACA - Imagic Games,Экшн,299.7,1,0.0,14.0,F,113014.0,GRD,Москва
ACE COMBAT 7: SKIES UNKNOWN,Экшн,482.42499999999995,36,0.0,29.694444444444443,M,114358.66666666667,GRD,Москва
ACE COMBAT 7: SKIES UNKNOWN - Deluxe Edition,Скидки,463.84,2,0.0,34.5,M,116521.0,['GRD' 'UGR'],['Москва' 'Ростов-на-Дону']
ACE COMBAT 7: SKIES UNKNOWN - Season Pass - DLC,Скидки,674.25,2,0.0,17.5,M,51651.5,SCH,['Москва' 'Санкт-Петербург']
ACE COMBAT™ 7: SKIES UNKNOWN,Скидки,291.1364102564103,39,504.0,29.512820512820515,M,112568.38461538461,GRD,Москва
ACE COMBAT™ 7: SKIES UNKNOWN - Season Pass - DLC,['Симуляторы' 'Экшн'],629.3000000000001,6,0.0,28.5,M,101687.66666666667,GRD,Санкт-Петербург
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,Симуляторы,619.8,9,0.0,30.444444444444443,M,134439.33333333334,GRD,['Москва' 'Санкт-Петербург']
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,['Симуляторы' 'Экшн'],1098.2,26,0.0,30.26923076923077,M,128211.38461538461,GRD,Москва
ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Aircraft Set - DLC,Экшн,1199.0,3,0.0,22.666666666666668,M,275957.3333333333,GRD,Санкт-Петербург
ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Edition,Новинки,1239.6,1,0.0,30.0,M,154356.0,GRD,Екатеринбург
ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Ultimate Edition,Симуляторы,1679.6,1,0.0,37.0,M,530000.0,GRD,Москва
AER Memories of Old,Скидки,36.1128947368421,76,0.0,26.31578947368421,M,98870.77631578948,GRD,Москва
AEW: Fight Forever,Экшн,2609.13,1,0.0,26.0,M,186547.0,SCH,Москва
AEW: Fight Forever - Elite Edition,['Новинки' 'Файтинги'],3999.0,2,0.0,27.5,M,101000.0,['GRD' 'SCH'],Москва
AK-xolotl,Инди,700.0,1,0.0,20.0,M,345861.0,UGR,Новосибирск
AO Tennis 2,Симуляторы,1799.0,1,0.0,25.0,M,50000.0,GRD,Ростов-на-Дону
APEX LEGENDS - 1000 COINS VIRTUAL CURRENCY,Шутеры,1031.5227392739275,303,0.0,22.08910891089109,M,95129.3399339934,SCH,Москва
APEX LEGENDS - 11500 COINS VIRTUAL CURRENCY,['Шутеры' 'Экшн'],10472.0625,4,0.0,28.0,M,107689.0,['GRD' 'SCH'],Москва
APEX LEGENDS - 2150 COINS VIRTUAL CURRENCY,Бестселлеры,2063.987021276596,47,0.0,23.21276595744681,M,91765.74468085106,SCH,Москва
APEX LEGENDS - 4350 COINS VIRTUAL CURRENCY,['Бестселлеры' 'Экшн'],4148.67,21,0.0,23.904761904761905,M,105880.57142857143,GRD,Москва
