good_name,id,category_id,good_id,good_price,good_cnt,age,monthly_income_amt,steam_popularity_score,client_id,order_day,category_name,good_name,gender_cd,education_level,city_nm,count
//N.P.P.D. RUSH// - The milk of Ultraviolet,1500249239.8,28797.4,848756.0,13.669999999999998,1.0,22.8,151585.2,0.0,['5-1CR7PWI3D' '5-1RS9TX5VL' '5-30TOXX7S6' '5-30ZA6PGVK' '5-4Y9TLAXZ'],['2022-03-20' '2022-04-28' '2022-04-29' '2022-05-07' '2022-05-27'],Экшн,//N.P.P.D. RUSH// - The milk of Ultraviolet,M,SCH,Санкт-Петербург,5
//SNOWFLAKE TATTOO//,1500250033.0,28568.0,848604.0,19.35,1.0,27.0,56581.0,0.0,['5-13B9F9N2R' '5-4Y9TLAXZ'],['2022-04-29' '2022-05-02'],['Приключения' 'Ролевые (RPG)'],//SNOWFLAKE TATTOO//,M,['GRD' 'SCH'],['Москва' 'Самара'],2
11-11 Memories Retold,1500519554.0,28911.5,1424161.0,149.85,1.0,28.583333333333332,107794.33333333333,0.0,5-NTUB1VJC,2023-03-24,Приключения,11-11 Memories Retold,M,GRD,Москва,12
112 Operator,1500507553.347826,29200.521739130436,1407030.0,170.83695652173913,1.0,26.130434782608695,120000.0,2046.0,"['4-19NBZ95Y' '4-1A08YTNW' '5-1ANZ92OLA' '5-1V15AD37N' '5-23BIB4KNP'
 '5-25B2KC2YD' '5-29XY27GM4' '5-2BHAPU3A3' '5-2FLMLXKNR' '5-2INSYYA6T'
 '5-2MAYRSA51' '5-2UVO41G6A' '5-2YCPFUTTD' '5-2YYL0JBT' '5-2ZVN66Y3O'
 '5-31O8E1CAD' '5-346YD89FS' '5-8EVSLK13' '5-IR5P08NR' '5-NP7PN8W7'
 '5-SLD3NV5N' '5-T01OCRMS' '5-UHY4CSMI']",2022-12-21,Симуляторы,112 Operator,M,GRD,['Москва' 'Санкт-Петербург'],23
15 Days,1500392008.25,29508.5,849246.0,46.74375,1.0,29.375,45890.0,0.0,"['4-1Q1JFDVR' '5-2DL5GOMBI' '5-2DQMHMC43' '5-2TKQFEXAJ' '5-327N31HL9'
 '5-34SNKKE8N' '5-38STJYVZJ' '5-N28W1APA']",2022-11-17,['Приключения' 'Скидки'],15 Days,M,UGR,Москва,8
16bit Trader,1500411117.7761195,28560.82089552239,1123589.0,8.801492537313434,1.0,24.671641791044777,113054.55223880598,4353.0,5-1B7ZX894Q,2022-10-07,Стратегии,16bit Trader,M,GRD,Москва,67
1943 Deadly Desert,1500337668.8333333,28748.166666666668,849267.0,43.199999999999996,1.0,25.333333333333332,86626.83333333333,0.0,5-36XY9DVYU,2022-12-15,Стратегии,1943 Deadly Desert,M,SCH,Москва,6
1954 Alcatraz,1500380544.142857,28966.714285714286,890267.0,25.967857142857145,1.0,26.857142857142858,89682.0,0.0,5-Z594EJAC,"['2022-04-01' '2022-04-03' '2022-04-04' '2022-04-07' '2022-04-10'
 '2022-08-19' '2022-09-24' '2022-09-27' '2022-09-28' '2022-11-08'
 '2023-02-25' '2023-04-03' '2023-08-09' '2023-10-27']",Инди,1954 Alcatraz,M,SCH,Москва,14
3SwitcheD,1500520661.0,30659.0,1123906.0,19.9,1.0,20.0,62000.0,4608.0,5-3DJ2KXOIN,2023-03-19,Казуальные игры,3SwitcheD,M,GRD,Москва,1
4th Generation Warfare,1500596793.0,28571.0,1499298.0,535.9,1.0,32.666666666666664,144165.33333333334,0.0,"['5-1RGS6JD28' '5-214SH5DDS' '5-28T0GUR49' '5-2FLMLXKNR' '5-2IU5WHRYX'
 '5-DUOR4DI2']","['2023-01-31' '2023-02-16' '2023-05-22' '2023-07-16' '2023-09-26'
 '2023-10-06']",['Инди' 'Ролевые (RPG)'],4th Generation Warfare,M,GRD,Санкт-Петербург,6
7'scarlet,1500367400.4,29019.4,1347533.0,288.4,1.0,30.0,132543.2,0.0,['5-1B6U8C885' '5-2YD6S2OL7' '5-D3HE88FS' '5-IH2FM0EN' '5-JREPU2VG'],['2022-08-27' '2022-09-03' '2022-09-20' '2022-12-09' '2022-12-28'],['Ролевые (RPG)' 'Скидки'],7'scarlet,F,GRD,['Москва' 'Санкт-Петербург'],5
8infinity,1500488362.4801762,29572.04845814978,1134313.0,3.8479295154185023,1.0,24.65638766519824,100089.22907488987,4701.0,5-3BMSE9VBV,2022-12-15,Инди,8infinity,M,GRD,Москва,227
9 Monkeys of Shaolin,1500645610.7272727,28573.727272727272,1667773.0,149.7,1.0,34.45454545454545,128015.36363636363,0.0,['1-3TC6IG5' '5-O25S9VXB'],['2023-06-26' '2023-07-04' '2023-10-12'],Экшн,9 Monkeys of Shaolin,M,['GRD' 'SCH'],Москва,11
9 Years of Shadows,1500584339.625,28709.875,1587424.0,665.625,1.0,28.0,129176.75,0.0,"['5-19XVF44L9' '5-1CLY54DHK' '5-1GJD8FC3H' '5-2DKVWRXE1' '5-2ID9X2YV0'
 '5-2WZX8FKVE' '5-WE2SQX5P' '5-WEOEEH93']","['2023-04-10' '2023-04-13' '2023-04-14' '2023-05-08' '2023-06-15'
 '2023-07-15' '2023-07-18' '2023-08-29']",Экшн,9 Years of Shadows,M,SCH,Москва,8
911 Operator,1500519033.7692308,29044.80769230769,1407028.0,128.1903846153846,1.0,25.615384615384617,99826.80769230769,2568.0,5-2MAYRSA51,"['2022-12-27' '2023-02-19' '2023-03-13' '2023-07-12' '2023-07-14'
 '2023-10-09']",Стратегии,911 Operator,M,GRD,Москва,26
A Blind Legend,1500595822.0,28567.25,847805.0,43.8,1.0,26.0,78541.125,0.0,"['5-1BAV9XWDT' '5-1RQXX2A5T' '5-1YISWSSJJ' '5-2FLMLXKNR' '5-2ITZIE5V9'
 '5-2TWI4P91V' '5-2VURA9HJC' '5-7V7L5V9U']",2023-07-16,Приключения,A Blind Legend,M,GRD,['Москва' 'Санкт-Петербург'],8
A Game of Dwarves,1500252905.0,28555.0,847425.0,39.8,1.0,23.0,87775.0,4417.0,5-307U2SS8W,2022-05-05,Стратегии,A Game of Dwarves,M,GRD,Екатеринбург,1
A Game of Dwarves: Ale Pack - DLC,1500257979.0,29607.0,849136.0,19.5,1.0,22.0,55449.0,0.0,['5-2NZ10QB9P' '5-2RL0CKVD0'],['2022-05-12' '2022-05-14'],['Казуальные игры' 'Стратегии'],A Game of Dwarves: Ale Pack - DLC,M,['GRD' 'SCH'],['Москва' 'Санкт-Петербург'],2
A Game of Thrones: The Board Game - Digital Edition,1500375218.25,28555.0,890282.0,813.595,1.0,31.75,159330.25,0.0,['5-7RDO2EAY' '5-D55035WX' '5-DKRYABE7' '5-GTNST9M5'],['2022-04-05' '2022-05-09' '2022-06-01' '2023-10-16'],Стратегии,A Game of Thrones: The Board Game - Digital Edition,M,SCH,Москва,4
A Memoir Blue,1500288689.5769231,29370.384615384617,1203478.0,261.16153846153844,1.0,30.615384615384617,156682.46153846153,0.0,5-31IOYRSY8,2022-04-01,Казуальные игры,A Memoir Blue,M,GRD,Москва,26
A Normal Lost Phone,1500536394.4545455,28946.0,847588.0,32.67,1.0,23.181818181818183,116511.54545454546,0.0,5-3J0QDUBJS,['2023-02-03' '2023-07-30' '2023-08-10'],Инди,A Normal Lost Phone,F,GRD,Москва,11
A Planet of Mine,1500354426.5,28560.0,847476.0,153.75,1.0,23.5,66307.0,0.0,['5-2FLMLXKNR' '5-2VDSANLQP'],['2022-03-15' '2023-02-16'],['Симуляторы' 'Стратегии'],A Planet of Mine,M,GRD,['Красноярск' 'Санкт-Петербург'],2
A Street Cat's Tale,1500511284.0,28564.8,1375793.0,91.32666666666667,1.0,25.533333333333335,85361.33333333333,0.0,"['5-17B47YA0D' '5-1WQNF3RV5' '5-20PPABK1F' '5-258TLBOZG' '5-2BYH4PD3T'
 '5-2FLMLXKNR' '5-2J5BHBNBM' '5-2O3RD4YVL' '5-2TV6F1S5W' '5-30BOAPKVH'
 '5-30WWQI5D9' '5-33TWXEQTE' '5-WRI5MBHZ' '5-X1I823ZS' '5-Z1HQN2K7']",['2023-05-05' '2023-05-09'],Симуляторы,A Street Cat's Tale,F,GRD,Санкт-Петербург,15
A WAY OUT,1500208824.0,28562.0,848220.0,479.6,1.0,29.0,134841.0,0.0,5-G4AQB7NY,2022-02-08,Приключения,A WAY OUT,M,GRD,Новосибирск,1
ABRACA - Imagic Games,1500495034.0,28577.0,847918.0,299.7,1.0,14.0,113014.0,0.0,5-3E03OVQJG,2023-02-26,Экшн,ABRACA - Imagic Games,F,GRD,Москва,1
ACE COMBAT 7: SKIES UNKNOWN,1500363366.3611112,28913.805555555555,848978.0,482.42499999999995,1.0,29.694444444444443,114358.66666666667,0.0,4-UC6BEV5,['2022-10-21' '2022-12-16'],Экшн,ACE COMBAT 7: SKIES UNKNOWN,M,GRD,Москва,36
ACE COMBAT 7: SKIES UNKNOWN - Deluxe Edition,1500241744.0,29688.0,848803.0,463.84,1.0,34.5,116521.0,0.0,['5-27LU5GN58' '5-2Y70YGW5H'],['2022-04-16' '2022-04-20'],Скидки,ACE COMBAT 7: SKIES UNKNOWN - Deluxe Edition,M,['GRD' 'UGR'],['Москва' 'Ростов-на-Дону'],2
ACE COMBAT 7: SKIES UNKNOWN - Season Pass - DLC,1500289835.0,29688.0,848003.0,674.25,1.0,17.5,51651.5,0.0,['5-2O4DZAV0I' '5-30U6GSLSR'],['2022-06-12' '2022-07-30'],Скидки,ACE COMBAT 7: SKIES UNKNOWN - Season Pass - DLC,M,SCH,['Москва' 'Санкт-Петербург'],2
ACE COMBAT™ 7: SKIES UNKNOWN,1500447366.897436,28946.51282051282,1424164.0,291.1364102564103,1.0,29.512820512820515,112568.38461538461,504.0,5-1B3ZKF4AQ,['2022-11-06' '2022-11-18'],Скидки,ACE COMBAT™ 7: SKIES UNKNOWN,M,GRD,Москва,39
ACE COMBAT™ 7: SKIES UNKNOWN - Season Pass - DLC,1500620722.3333333,28571.0,1424166.0,629.3000000000001,1.0,28.5,101687.66666666667,0.0,"['5-16ZRN4LJ1' '5-1B4ELVTJY' '5-1FATZ0IKQ' '5-FMIIC87N' '5-H03BUXLR'
 '5-TF03UJCK']","['2022-12-25' '2023-03-28' '2023-07-16' '2023-09-20' '2023-09-27'
 '2023-10-18']",['Симуляторы' 'Экшн'],ACE COMBAT™ 7: SKIES UNKNOWN - Season Pass - DLC,M,GRD,Санкт-Петербург,6
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,1500492836.1111112,28572.555555555555,1424176.0,619.8,1.0,30.444444444444443,134439.33333333334,0.0,"['5-1B4ELVTJY' '5-1BPMW5TZY' '5-1FATZ0IKQ' '5-2CJ6XH220' '5-2CYCAVJQR'
 '5-2I5A5HZ0Z' '5-2ID1G3C32' '5-DBUBRBP8' '5-DXF57IT0']","['2022-11-17' '2022-11-23' '2022-12-24' '2022-12-29' '2022-12-30'
 '2023-04-01' '2023-05-13' '2023-05-20' '2023-09-19']",Симуляторы,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,M,GRD,['Москва' 'Санкт-Петербург'],9
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,1500531132.6538463,28573.46153846154,1424174.0,1098.2,1.0,30.26923076923077,128211.38461538461,0.0,5-E3MXNPR5,['2022-11-20' '2023-03-26' '2023-05-20' '2023-09-24'],['Симуляторы' 'Экшн'],ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,M,GRD,Москва,26
ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Aircraft Set - DLC,1500506417.6666667,28577.0,1311588.0,1199.0,1.0,22.666666666666668,275957.3333333333,0.0,['5-1YQWUGU37' '5-2IK7GJYUX' '5-MYAC8YIE'],['2022-07-02' '2023-03-02' '2023-10-05'],Экшн,ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Aircraft Set - DLC,M,GRD,Санкт-Петербург,3
ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Edition,1500277532.0,29689.0,1311590.0,1239.6,1.0,30.0,154356.0,0.0,5-30C6GQGYW,2022-06-18,Новинки,ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Edition,M,GRD,Екатеринбург,1
ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Ultimate Edition,1500278737.0,28565.0,1311589.0,1679.6,1.0,37.0,530000.0,0.0,1-FELYVJ9,2022-06-20,Симуляторы,ACE COMBAT™ 7: SKIES UNKNOWN – TOP GUN: Maverick Ultimate Edition,M,GRD,Москва,1
AER Memories of Old,1500382659.8421052,28964.07894736842,890200.0,36.1128947368421,1.0,26.31578947368421,98870.77631578948,0.0,5-2SWCE8DTA,2022-04-01,Скидки,AER Memories of Old,M,GRD,Москва,76
AEW: Fight Forever,1500609601.0,28577.0,1678515.0,2609.13,1.0,26.0,186547.0,0.0,5-3A09H1VHX,2023-07-02,Экшн,AEW: Fight Forever,M,SCH,Москва,1
AEW: Fight Forever - Elite Edition,1500678858.0,29135.0,1678514.0,3999.0,1.0,27.5,101000.0,0.0,['5-28R4NTPSI' '7-3L235Q88J'],['2023-07-16' '2023-10-13'],['Новинки' 'Файтинги'],AEW: Fight Forever - Elite Edition,M,['GRD' 'SCH'],Москва,2
AK-xolotl,1500717018.0,28568.0,1745491.0,700.0,1.0,20.0,345861.0,0.0,5-ZFY42ESQ,2023-09-28,Инди,AK-xolotl,M,UGR,Новосибирск,1
AO Tennis 2,1500556227.0,28565.0,848095.0,1799.0,1.0,25.0,50000.0,0.0,5-1JGMAERNS,2023-05-04,Симуляторы,AO Tennis 2,M,GRD,Ростов-на-Дону,1
APEX LEGENDS - 1000 COINS VIRTUAL CURRENCY,1500693146.2178218,30030.6699669967,1696109.0,1031.5227392739275,1.0,22.08910891089109,95129.3399339934,0.0,['5-19RYBLUL0' '5-236N31SVA' '5-33DR530Q2'],2023-10-07,Шутеры,APEX LEGENDS - 1000 COINS VIRTUAL CURRENCY,M,SCH,Москва,303
APEX LEGENDS - 11500 COINS VIRTUAL CURRENCY,1500644086.5,28577.5,1696108.0,10472.0625,1.0,28.0,107689.0,0.0,5-F5GNXPMX,2023-08-09,['Шутеры' 'Экшн'],APEX LEGENDS - 11500 COINS VIRTUAL CURRENCY,M,['GRD' 'SCH'],Москва,4
APEX LEGENDS - 2150 COINS VIRTUAL CURRENCY,1500695209.531915,30529.127659574468,1696107.0,2063.987021276596,1.0,23.21276595744681,91765.74468085106,0.0,['5-18A6ZD64Z' '5-OXL2XAMY'],"['2023-08-30' '2023-09-02' '2023-09-08' '2023-09-16' '2023-09-30'
 '2023-10-01' '2023-10-12' '2023-10-17' '2023-10-18']",Бестселлеры,APEX LEGENDS - 2150 COINS VIRTUAL CURRENCY,M,SCH,Москва,47
APEX LEGENDS - 4350 COINS VIRTUAL CURRENCY,1500679277.3333333,30324.666666666668,1696105.0,4148.67,1.0,23.904761904761905,105880.57142857143,0.0,['5-2N2XD281L' '5-3FT622ID3'],2023-10-07,['Бестселлеры' 'Экшн'],APEX LEGENDS - 4350 COINS VIRTUAL CURRENCY,M,GRD,Москва,21
APEX LEGENDS - 6700 COINS VIRTUAL CURRENCY,1500677084.125,29724.0,1696106.0,6244.5875,1.0,23.0,104904.0,0.0,"['5-19RYBLUL0' '5-24NOE6P8G' '5-2XXGCJLN6' '5-32AKFGOHF' '5-33UFYV9F5'
 '5-3HJ4LJ1Z1' '5-F5GNXPMX' '5-NJXTYL0Y']","['2023-08-09' '2023-08-16' '2023-09-02' '2023-09-05' '2023-09-09'
 '2023-09-13' '2023-09-29' '2023-10-02']",Экшн,APEX LEGENDS - 6700 COINS VIRTUAL CURRENCY,M,SCH,Москва,8
