client_id,age,gender_cd,education_level,city_nm,monthly_income_amt,steam_popularity_score,category_name,good_price,count
1-11B0XBL,35.0,M,UGR,Москва,20000.0,0.0,Хоррор,359.6,1
1-14HPC7Z,42.0,M,UGR,Нижний Новгород,386000.0,0.0,Приключения,29.0,1
1-15GSF3N,36.0,M,UGR,Омск,16400.0,0.0,Стратегии,133.0,1
1-17GCAKP,48.0,M,PGR,Екатеринбург,62000.0,0.0,Хоррор,7.25,1
1-1AJFCHX,36.0,M,UGR,Москва,230000.0,21.692307692307693,Стратегии,628.77,13
1-1BFARRI,39.0,M,GRD,Москва,290000.0,66.5,['Бестселлеры' 'Инди' 'Ролевые (RPG)' 'Стратегии'],2163.4700000000003,4
1-1C7ZCKV,37.0,M,GRD,Москва,146000.0,0.0,Ролевые (RPG),649.0,1
1-1D4Y8EH,39.0,M,SCH,Москва,350000.0,1906.0,Инди,449.1,1
1-1D62879,39.0,M,UGR,Москва,103885.33333333333,1191.0,Инди,166.13,3
1-1D69ED7,31.0,M,SCH,Москва,14000.0,0.0,Симуляторы,550.0,1
1-1D8ABHP,40.0,F,GRD,Москва,26000.0,58.0,Стратегии,930.0,1
1-1DU7LXL,39.0,M,GRD,Москва,590000.0,46.0,Ролевые (RPG),3999.0,1
1-1FHD942,41.0,F,SCH,Москва,62000.0,26.0,Стратегии,325.0,1
1-1G1FUYJ,38.0,M,GRD,Москва,230000.0,2188.0,Стратегии,465.0,1
1-1HMDCUV,61.0,M,GRD,Москва,158000.0,78.33333333333333,Экшн,1821.3666666666668,3
1-1IVY7MI,40.0,F,['GRD' 'UGR'],['Екатеринбург' 'Уфа'],86000.0,1629.0,['Скидки' 'Экшн'],55.95,2
1-1JLNQNT,42.0,M,UGR,Москва,278000.0,335.0,Ролевые (RPG),824.3549999999999,10
1-1JNQDF1,38.0,M,UGR,['Казань' 'Санкт-Петербург'],206000.0,0.0,Бестселлеры,343.5,2
1-1LO6MZY,51.0,M,GRD,Казань,110000.0,766.0,Приключения,650.0,1
1-1LY8TUA,39.0,M,GRD,Санкт-Петербург,53600.0,0.0,Стратегии,515.0,1
1-1M5G4O,46.0,M,GRD,Санкт-Петербург,374000.0,279.5,['Симуляторы' 'Скидки'],1149.5,2
1-1MJ8I6O,39.0,M,GRD,Санкт-Петербург,302000.0,0.0,Скидки,149.5,1
1-1MSCJAX,35.0,M,GRD,Москва,110000.0,537.4444444444445,Ролевые (RPG),352.78666666666663,9
1-1NUIJ1Q,67.0,M,GRD,Новосибирск,38000.0,0.0,Инди,1099.0,1
1-1NYS47Z,36.0,M,GRD,Москва,170000.0,0.0,['Другое' 'Скидки'],929.0,2
1-1PI54AO,47.0,F,GRD,['Москва' 'Санкт-Петербург'],290000.0,13.0,['Скидки' 'Стратегии'],312.375,2
